Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Primary Equipment ,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Grip,Load Position (Ending),Continuous or Alternating Legs ,Movement Pattern #1,Movement Pattern #2,Plane Of Motion #1,Body Region,Force Type,Mechanics,Primary Exercise Classification
Bodyweight Alternating Lateral Kick Through,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Knee Hover Quadruped,Double Arm,Flat Palm,No Load,Alternating,Rotational,,Frontal Plane,Core,Other,Compound,Animal Flow
Ring Hanging L Sit Flutter Kicks ,Video Demonstration,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Alternating,Hip Flexion,Isometric Hold,Sagittal Plane,Core,Other,Compound,Calisthenics
Slam Ball Russian Twist,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,Slam Ball,None,0,Seated Floor,Double Arm,Neutral,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Dumbbell Crush Grip Otis Up,,,Novice,Abdominals,Rectus Abdominis,Rectus Abdominis,Dumbbell,None,0,Supine,Double Arm,Crush Grip,Overhead,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Single Arm Dumbbell Side Plank Reach Through ,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,Dumbbell,None,0,Side Plank,Single Arm,Neutral,Other,Continuous,Anti-Lateral Flexion,Spinal Rotational,Transverse Plane,Core,Other,Compound,Unsorted*
Ab Wheel Kneeling Rollout,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Latissimus Dorsi,Ab Wheel,None,0,Kneeling,Double Arm,Pronated,No Load,Continuous,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Unsorted*
Cable Seated Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Cable,Bench (Flat),1,Seated,Double Arm,Neutral,Other,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Isolation,Unsorted*
Cable Kneeling Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Cable,None,0,Kneeling,Double Arm,Neutral,Other,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Isolation,Unsorted*
Medicine Ball V Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Medicine Ball,None,0,Supine,Double Arm,Neutral,Other,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Suspension Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Suspension Trainer,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Spinal Flexion,Anti-Extension,Sagittal Plane,Core,Other,Compound,Unsorted*
Suspension Lateral Knee Tuck,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,Suspension Trainer,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Rotational,Spinal Flexion,Transverse Plane,Core,Other,Compound,Unsorted*
Suspension Archer Row ,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,,Suspension Trainer,None,0,Standing,Double Arm,Neutral,No Load,Continuous,Horizontal Pull,,Frontal Plane,Upper Body,Pull,Compound,Unsorted*
Single Arm Dumbbell Turkish Get Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Dumbbell,None,0,Supine,Single Arm,Neutral,Overhead,Continuous,Rotational,,Transverse Plane,Full Body,Other,Compound,Grinds
Bodyweight Bear Crawl,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Knee Hover Quadruped,Double Arm,Flat Palm,No Load,Alternating,Unsorted*,,Sagittal Plane,Core,Other,Compound,Animal Flow
Stability Ball Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Stability Ball,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Ring Hanging Leg Raise ,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Hip Flexion,,Sagittal Plane,Core,Other,Compound,Calisthenics
Parallette L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Parallette Bars,None,0,L Sit,Double Arm,Neutral,No Load,Continuous,Isometric Hold,,Sagittal Plane,Core,Other,Compound,Calisthenics
Bodyweight Standing Walkout Plank,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Standing,Double Arm,Flat Palm,No Load,Continuous,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Calisthenics
Ring Eccentric Pull Up,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Vertical Pull,,Sagittal Plane,Upper Body,Pull,Compound,Calisthenics
Barbell Climb,,Video Explanation,Expert,Abdominals,Rectus Abdominis,,Barbell,None,0,Standing,Double Arm,Neutral,No Load,Continuous,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Calisthenics
Bodyweight Ipsilateral Bird Dog,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gluteus Maximus,Bodyweight,None,0,Quadruped,Single Arm,Flat Palm,No Load,Continuous,Anti-Rotational,,Sagittal Plane,Core,Other,Compound,Unsorted*
Bodyweight Copenhagen Plank Knee to Elbow,,Video Explanation,Advanced,Adductors,Adductor Magnus,,Bodyweight,Bench (Flat),1,Side Plank,Single Arm,Forearm,No Load,Continuous,Hip Adduction,,Transverse Plane,Lower Body,Other,Compound,Unsorted*
Ring Eccentric Chin Up,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,Gymnastic Rings,None,0,Hanging,Double Arm,Supinated,No Load,Continuous,Vertical Pull,,Sagittal Plane,Upper Body,Pull,Compound,Calisthenics
Single Arm Dumbbell Seated Shoulder External Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Bench (Flat),1,Seated,Single Arm,Pronated,Other,Continuous,Shoulder External Rotation,,Transverse Plane,Upper Body,Pull,Isolation,Unsorted*
Double Dumbbell Seated Cuban Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Bench (Flat),1,Seated,Double Arm,Pronated,Other,Continuous,Shoulder External Rotation,,Transverse Plane,Upper Body,Pull,Isolation,Unsorted*
Double Dumbbell Cuban Rotation,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Shoulder External Rotation,,Transverse Plane,Upper Body,Pull,Isolation,Unsorted*
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Cable,None,0,Half Kneeling,Single Arm,Pronated,Other,Continuous,Shoulder External Rotation,,Transverse Plane,Upper Body,Pull,Isolation,Unsorted*
Miniband Fire Hydrant,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Miniband,None,0,Quadruped,No Arms,Flat Palm,No Load,Continuous,Hip External Rotation,,Transverse Plane,Lower Body,Other,Isolation,Bodybuilding
Medicine Ball Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Medicine Ball,None,0,Seated Floor,Double Arm,Neutral,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Bodyweight Side Plank,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Bodyweight,None,0,Side Plank,Single Arm,Forearm,No Load,Continuous,Anti-Lateral Flexion,,Frontal Plane,Core,Other,Compound,Calisthenics
Cable Reverse Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Cable,None,0,Supine,No Arms,No Grip,Other,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Cable Rope Half Kneeling High to Low Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,None,0,Half Kneeling,Double Arm,Pronated,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Cable Rope Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,None,0,Half Kneeling,Double Arm,Pronated,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Kettlebell ,2,Standing,Double Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Cable Rope Staggered Stance High to Low Chop ,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,None,0,Staggered Stance,Double Arm,Pronated,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Cable Rope Staggered Stance Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,None,0,Staggered Stance,Double Arm,Pronated,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Single Arm Dumbbell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Kettlebell ,2,Standing,Double Arm,Bottoms Up,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Slider Double Kettlebell Front Rack Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Kettlebell ,2,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Bodyweight Feet On Wall Mountain Climber ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Bodyweight,None,0,Prone,Double Arm,Flat Palm,No Load,Alternating,Anti-Extension,Spinal Flexion,Sagittal Plane,Core,Other,Compound,Calisthenics
Slider Double Kettlebell Suitcase Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Kettlebell ,2,Standing,Double Arm,Neutral,Suitcase,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Bodyweight Hollow Body Hold,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Supine,Double Arm,No Grip,No Load,Continuous,Isometric Hold,,Sagittal Plane,Core,Other,Compound,Unsorted*
Dumbbell Crush Grip Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Dumbbell,None,0,Supine,Double Arm,Crush Grip,Other,Continuous,Isometric Hold,,Sagittal Plane,Core,Other,Compound,Unsorted*
Bar Inverted Hanging Crunch,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,Iliopsoas,Pull Up Bar,None,0,Inverted ,No Arms,Head Supported,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Bodyweight Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,Rectus Abdominis,Bodyweight,None,0,Inverted ,No Arms,Head Supported,No Load,Continuous,Rotational,Spinal Flexion,Transverse Plane,Core,Other,Compound,Unsorted*
Slider Double Kettlebell Front Rack Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Kettlebell ,2,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Bodyweight Supine Alternating Single Leg Raise,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Bodyweight,None,0,Supine,No Arms,No Grip,No Load,Alternating,Hip Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Bodyweight Supine Leg Raise,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Bodyweight,None,0,Supine,No Arms,No Grip,No Load,Continuous,Hip Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Miniband Bicycle Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Miniband,None,0,Supine,No Arms,Head Supported,No Load,Alternating,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Bodyweight Side Plank Reach Through,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Bodyweight,None,0,Side Plank,Single Arm,Forearm,No Load,Continuous,Anti-Lateral Flexion,Spinal Rotational,Transverse Plane,Core,Other,Compound,Calisthenics
Bodyweight Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Supine,No Arms,Head Supported,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Bodyweight Butterfly Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Supine,No Arms,Head Supported,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Slider Mountain Climber,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Sliders,None,0,Prone,Double Arm,Flat Palm,No Load,Alternating,Anti-Extension,Spinal Flexion,Sagittal Plane,Core,Other,Compound,Unsorted*
Slider Pike ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Sliders,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Stability Ball Pike,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Stability Ball,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Slider Wide Mountain Climber,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Sliders,None,0,Prone,Double Arm,Flat Palm,No Load,Alternating,Anti-Extension,Spinal Flexion,Frontal Plane,Core,Other,Compound,Unsorted*
Stability Ball Crunch,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Stability Ball,None,0,Supine,No Arms,Head Supported,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Stability Ball Feet Elevated Oblique Crunch,Video Demonstration,,Beginner,Abdominals,Obliques,Rectus Abdominis,Stability Ball,None,0,Supine,No Arms,Head Supported,No Load,Continuous,Rotational,Spinal Flexion,Transverse Plane,Core,Other,Compound,Unsorted*
Stability Ball Kneeling Rollout,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Latissimus Dorsi,Stability Ball,None,0,Kneeling,Double Arm,Forearm,No Load,Continuous,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Unsorted*
Stability Ball Single Leg Knee Tuck,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Stability Ball,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Stability Ball Single Leg Pike,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Stability Ball,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Double Dumbbell Z Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Seated Floor,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Slider Double Kettlebell Overhead Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Kettlebell ,2,Standing,Double Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Double Dumbbell Romanian Deadlift,Video Demonstration,Video Explanation,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Dumbbell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Hip Hinge,,Sagittal Plane,Lower Body,Pull,Compound,Bodybuilding
Single Arm Dumbbell Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Dumbbell,None,0,Side Plank,Single Arm,Neutral,Other,Continuous,Anti-Lateral Flexion,,Frontal Plane,Core,Other,Compound,Unsorted*
Bodyweight Single Leg Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,None,0,Single Leg Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Dumbbell Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Dumbbell,None,0,Bridge,Double Arm,Neutral,Hip Crease,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,None,0,Single Leg Bridge,No Arms,No Grip,No Load,Alternating,Isometric Hold,Hip Extension,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Miniband Side Lying Clamshell,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Miniband,None,0,Side Lying,No Arms,No Grip,No Load,Continuous,Hip External Rotation,,Transverse Plane,Lower Body,Other,Isolation,Bodybuilding
Miniband Ankle Side Lying Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,None,0,Side Lying,No Arms,No Grip,No Load,Continuous,Hip Abduction,,Frontal Plane,Lower Body,Other,Isolation,Bodybuilding
Miniband Bench Seated Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,Bench (Flat),1,Seated,No Arms,No Grip,No Load,Continuous,Hip Abduction,,Transverse Plane,Lower Body,Other,Isolation,Bodybuilding
Miniband Glute Bridge Hip Abduction,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Miniband,None,0,Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,Hip Abduction,Sagittal Plane,Lower Body,Other,Compound,Bodybuilding
Stability Ball Hip Thrust,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Stability Ball,None,0,Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Stability Ball Dumbbell Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Stability Ball,Dumbbell,1,Bridge,Double Arm,Neutral,Hip Crease,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Bodyweight Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,None,0,Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Unsorted*
Dumbbell Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Dumbbell,None,0,Bridge,Double Arm,Neutral,Hip Crease,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Unsorted*
Cable Glute Kickback,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,Cable,None,0,Standing,No Arms,Hand Assisted,Other,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Isolation,Bodybuilding
Bodyweight Single Leg Foot Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,None,0,Single Leg Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Suspension Feet Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Suspension Trainer,None,0,Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Miniband Thigh Lateral Walk,Video Demonstration,Video Explanation,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,None,0,Walking,No Arms,No Grip,No Load,Continuous,Hip Abduction,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Miniband Ankle Lateral Walk,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,None,0,Walking,No Arms,No Grip,No Load,Continuous,Hip Abduction,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Miniband Feet Lateral Walk,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,None,0,Walking,No Arms,No Grip,No Load,Continuous,Hip Abduction,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Miniband Standing Glute Kickback,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,Miniband,None,0,Standing,No Arms,Hand Assisted,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Isolation,Bodybuilding
Barbell Hip Thrust,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Barbell,Bench (Flat),1,Bridge,Double Arm,Pronated,Hip Crease,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Barbell Single Leg Hip Thrust,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Barbell,Bench (Flat),1,Single Leg Bridge,Double Arm,Pronated,Hip Crease,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Stability Ball Single Leg Foot Elevated Glute Bridge,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Stability Ball,None,0,Single Leg Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
